Post_ID,Actor_Name,Post_Format,BERTopic,m_Primary_Topic,cap_chars,eng_rate,f_Protagonist,f_Onscreen_Text,n_comments_scraped
DQ9DYVGjs2Z,Harnas Wildlife Foundation,Carousel,1,Ecotourism,191,0.004503,0.0,0.0,3
DTH5ocQDAMc,Elephant Human Relations Aid,Video,0,Wildlife,269,0.018314,1.0,0.0,4
DQiqMb_DhnI,Ongava Game Reserve,Video,1,Wildlife,23,0.005185,1.0,0.0,0
DRboXapDRPH,Harnas Wildlife Foundation,Image,31,Wildlife,267,0.006245,1.0,0.0,5
DQt0XptgQN5,Gobabeb Research & Training Centre,Carousel,12,Research,202,0.040468,1.0,0.0,0
DQ4Hgt0jmeW,Harnas Wildlife Foundation,Carousel,1,Ecotourism,265,0.003236,1.0,0.0,2
DQ6lpEcAAZE,Gobabeb Research & Training Centre,Carousel,12,Wildlife,340,0.056655,0.0,0.0,0
DQomPRvDhb2,Gobabeb Research & Training Centre,Carousel,3,Wildlife,70,0.027878,0.0,0.0,0
DQyN1z-jWP2,Harnas Wildlife Foundation,Image,1,Wildlife,133,0.006019,1.0,0.0,3
DSkb8crjN7Y,Elephant Human Relations Aid,Image,0,Wildlife,133,0.014817,1.0,0.0,1
DR9lkQmjMsq,Elephant Human Relations Aid,Carousel,5,Wildlife,149,0.010583,1.0,0.0,0
DRmBxuCjPTR,Elephant Human Relations Aid,Video,1,Ecotourism,309,0.047119,1.0,0.0,3
DRtp4TYlAGG,Harnas Wildlife Foundation,Image,1,Ecotourism,155,0.001448,,,0
DR39HtJgmv4,Harnas Wildlife Foundation,Carousel,1,Wildlife,93,0.004616,0.0,0.0,2
DW9k7GUDah6,Giraffe Conservation Foundation,Image,8,Wildlife,355,0.009159,1.0,0.0,5
DRHaAmiDJXM,Elephant Human Relations Aid,Carousel,0,Wildlife,168,0.009019,0.0,0.0,0
DSqGNSaDeGo,Environmental Investment Fund,Image,14,Climate,318,0.003167,0.0,1.0,1
DUneNtoiFmf,Environmental Investment Fund,Carousel,6,Policy,193,0.0133,0.0,1.0,1
DWjEaq3iB7e,Ministry of Environment Forestry & Tourism,Carousel,6,Policy,628,0.00787,0.0,1.0,0
DT16QUUjpHs,Harnas Wildlife Foundation,Image,1,Ecotourism,200,0.003055,0.0,0.0,4
DUDieQziKe2,Ministry of Environment Forestry & Tourism,Image,-99,Ecotourism,0,0.008432,0.0,1.0,0
