Post_ID,hashtag,tag_class
DVWk_9XDbv8,wildlifeclubsofkenya,community_other
DVWk_9XDbv8,nubiangiraffe,branded
DVWk_9XDbv8,natureworkbooks,community_other
DVWk_9XDbv8,wildlifeconservation,community_other
DVWk_9XDbv8,conservatioenducation,community_other
DVWk_9XDbv8,gcf,community_other
DTQXoYHDNgM,africat,branded
DTQXoYHDNgM,research,community_other
DTQXoYHDNgM,namibia,generic
DTQXoYHDNgM,conservation,generic
DTQXoYHDNgM,leopard,community_other
DTQXoYHDNgM,wildlifeconservation,community_other
DVEjcvgj1xY,giraffeconservationfoundation,branded
DVEjcvgj1xY,skullstudy,community_other
DVEjcvgj1xY,giraffeskull,branded
DVEjcvgj1xY,giraffemorphology,branded
DVEjcvgj1xY,wildlifemorphology,community_other
DVEjcvgj1xY,wildlifeanatomy,community_other
DVEjcvgj1xY,giraffespecies,branded
DVEjcvgj1xY,cranialdifferences,community_other
DVEjcvgj1xY,dimorphisminwildlfie,community_other
DVEjcvgj1xY,girafferesearchstudy,branded
DVEjcvgj1xY,gcf,community_other
DU6QOvFk9xX,giraffeconservationfoundation,branded
DU6QOvFk9xX,voiceforgiraffe,branded
DU6QOvFk9xX,conservationimpact,community_other
DU6QOvFk9xX,wildlifevet,community_other
DU6QOvFk9xX,africa,generic
DU6QOvFk9xX,standtallforgiraffe,branded
DU6QOvFk9xX,capacitybuilding,community_other
DU6QOvFk9xX,impactreporting,community_other
DU6QOvFk9xX,conservationefforts,community_other
DU6QOvFk9xX,conservationcollaboration,community_other
DU6QOvFk9xX,gcf,community_other
DXuRr8pGfJ_,conservation,generic
DXuRr8pGfJ_,communityconservation,community_other
DXuRr8pGfJ_,biodiversity,generic
DXuRr8pGfJ_,cheetah,branded
DXuRr8pGfJ_,ccfcheetah,branded
DXca0cil6Mk,earthday,campaign
DXca0cil6Mk,conservation,generic
DXca0cil6Mk,cheetah,branded
DXca0cil6Mk,biodiversity,generic
DXca0cil6Mk,ccfcheetah,branded
DXVdVqvGBrZ,dogs,community_other
DXVdVqvGBrZ,puppies,community_other
DXVdVqvGBrZ,workingdogs,community_other
DXVdVqvGBrZ,livestockguardingdog,community_other
DXVdVqvGBrZ,ccfcheetah,branded
DSFsknpDGEy,africat,branded
DSFsknpDGEy,research,community_other
DSFsknpDGEy,namibia,generic
DSFsknpDGEy,leopard,community_other
DSFsknpDGEy,pangolin,community_other
DSFsknpDGEy,wildlifeconservation,community_other
DSFsknpDGEy,hyenas,community_other
DWnyV1Wls37,naankuse,branded
DWnyV1Wls37,makingadifference,community_other
DWcGfdLjB95,naankuse,branded
DWcGfdLjB95,naankusefoundation,branded
DWcGfdLjB95,lifelineclinic,community_other
DWcGfdLjB95,healthcare,community_other
DWcGfdLjB95,healthcareafrica,community_other
DV1elZ8D0VV,naankuse,branded
DV1elZ8D0VV,naankusefoundation,branded
DV1elZ8D0VV,groen,community_other
DV1elZ8D0VV,kyknet,community_other
DV1elZ8D0VV,conservation,generic
DV1elZ8D0VV,antipoaching,community_other
DV1elZ8D0VV,antipoachingdogs,community_other
DT-JQYiimAB,worldenvironmentaleducationday,campaign
DT-JQYiimAB,worldcleanenergyday,campaign
DT98qQrCBCZ,worldwetlandsday,campaign
DWMpxKqjnAZ,naankuse,branded
DWMpxKqjnAZ,naankusefoundation,branded
DWMpxKqjnAZ,malnutrition,community_other
DWMpxKqjnAZ,healthcare,community_other
DWMpxKqjnAZ,feedingwithlove,community_other
DWMpxKqjnAZ,namibmillls,community_other
DUQylVEiPWw,worldwetlandsday,campaign
DV9M4tnAc73,naankuse,branded
DV9M4tnAc73,naankusefoundation,branded
DV9M4tnAc73,lifelineclinic,community_other
DV9M4tnAc73,healthcare,community_other
DV9M4tnAc73,primaryhealthcare,community_other
DV9M4tnAc73,outreach,community_other
DV4Db60iEI4,naankuse,branded
DV4Db60iEI4,naankusefoundation,branded
DV4Db60iEI4,volleyball,community_other
DV4Db60iEI4,sports,community_other
DV4Db60iEI4,conservation,generic
DV4Db60iEI4,teamspirit,community_other
DUELhjJjd7D,giraffeconservationfoundation,branded
DUELhjJjd7D,giraffeconservation,branded
DUELhjJjd7D,wildlifeconservation,community_other
DUELhjJjd7D,teamefforts,community_other
DUELhjJjd7D,giraffeconservationefforts,branded
DUELhjJjd7D,standtallforgiraffe,branded
DUELhjJjd7D,gcf,community_other
DV6hPrUj1sO,naankuse,branded
DV6hPrUj1sO,naankusefoundation,branded
DV6hPrUj1sO,naankuseprimaryschool,branded
DV6hPrUj1sO,education,community_other
DV6hPrUj1sO,volunteerafrica,community_other
DV6hPrUj1sO,volunteersmakeadifference,community_other
DUOesl5jXwq,giraffeconservationfoundation,branded
DUOesl5jXwq,giraffeconservation,branded
DUOesl5jXwq,giraffecoat,branded
DUOesl5jXwq,giraffepattern,branded
DUOesl5jXwq,thermoregulation,community_other
DUOesl5jXwq,savanna,community_other
DUOesl5jXwq,wildlifebiology,community_other
DUOesl5jXwq,gcf,community_other
DUOesl5jXwq,voiceforgiraffe,branded
DUOesl5jXwq,giraffeconservation,branded
DUOesl5jXwq,natureiscreative,community_other
DUOesl5jXwq,wildlifefacts,community_other
DUOesl5jXwq,standtall,community_other
DUOesl5jXwq,giraffe,branded
DT8dIW2iCC3,giraffeconservationfoundation,branded
DT8dIW2iCC3,giraffeconservation,branded
DT8dIW2iCC3,sanantoniozoo,community_other
DT8dIW2iCC3,communityengagement,community_other
DT8dIW2iCC3,standtallforgiraffe,branded
DT8dIW2iCC3,supportconservation,community_other
DT8dIW2iCC3,gcf,community_other
DUbWq9sk2fR,tgif,community_other
DUbWq9sk2fR,thankgiraffeitsfriday,campaign
DUbWq9sk2fR,voiceforgiraffe,branded
DUbWq9sk2fR,standtall,community_other
DUbWq9sk2fR,giraffeconservation,branded
DUbWq9sk2fR,conservationvibes,community_other
DUbWq9sk2fR,wildlifelovers,community_other
DUbWq9sk2fR,fridayfeeling,campaign
DUbWq9sk2fR,giraffeconservationfoundation,branded
DUbWq9sk2fR,gcf,community_other
DUWNHNmDsUE,giraffeconservationfoundation,branded
DUWNHNmDsUE,giraffeconservation,branded
DUWNHNmDsUE,impactreports,community_other
DUWNHNmDsUE,giraffepopulations,branded
DUWNHNmDsUE,giraffemoitoring,branded
DUWNHNmDsUE,fourspecies,community_other
DUWNHNmDsUE,wildliferangers,community_other
DUWNHNmDsUE,supportconservation,community_other
DUWNHNmDsUE,gcf,community_other
DTqbkOCjdCj,standtallforgiraffe,branded
DT3TiZ9DdmI,giraffeconservationfoundation,branded
DT3TiZ9DdmI,giraffeconservation,branded
DT3TiZ9DdmI,tgif,community_other
DT3TiZ9DdmI,thankgiraffeitsfriday,campaign
DT3TiZ9DdmI,naturelovers,community_other
DT3TiZ9DdmI,giraffelovers,branded
DT3TiZ9DdmI,giraffe,branded
DT3TiZ9DdmI,gcf,community_other
DTyJ9OpgXzm,giraffeconservationfoundation,branded
DTyJ9OpgXzm,giraffeconservation,branded
DTyJ9OpgXzm,wgd2026,campaign
DTyJ9OpgXzm,worldgiraffeday,campaign
DTyJ9OpgXzm,worldgiraffeday2026,campaign
DTyJ9OpgXzm,conservationefforts,community_other
DTyJ9OpgXzm,standtallforgiraffe,branded
DTyJ9OpgXzm,wgd,community_other
