id,condition,scale,n_items,score
51,Neutral,NAR,3,3.3333333333333335
51,Neutral,CTRL1,1,4
51,Neutral,CTRL2,1,4
51,Empathy,EMP,3,4.666666666666667
51,Empathy,NORM,3,3
51,Empathy,NAR,3,3.6666666666666665
51,Empathy,CTRL1,1,5
51,Empathy,CTRL2,1,4
51,Social Norm,EMP,3,4
51,Social Norm,NORM,3,4
51,Social Norm,NAR,3,3.3333333333333335
51,Social Norm,CTRL1,1,4
51,Social Norm,CTRL2,1,4
51,Narrative,EMP,3,4.333333333333333
51,Narrative,NORM,3,3.3333333333333335
51,Narrative,NAR,3,5
51,Narrative,CTRL1,1,4
51,Narrative,CTRL2,1,5
53,Neutral,EMP,3,2.6666666666666665
53,Neutral,NORM,3,4
53,Neutral,NAR,3,3
53,Neutral,CTRL1,1,3
53,Neutral,CTRL2,1,4
53,Empathy,EMP,3,4.333333333333333
53,Empathy,NORM,3,3
53,Empathy,NAR,3,2.6666666666666665
53,Empathy,CTRL1,1,4
53,Empathy,CTRL2,1,4
53,Social Norm,EMP,3,2
53,Social Norm,NORM,3,4
53,Social Norm,NAR,3,3
53,Social Norm,CTRL1,1,3
53,Social Norm,CTRL2,1,4
53,Narrative,EMP,3,3.3333333333333335
53,Narrative,NORM,3,2.3333333333333335
53,Narrative,NAR,3,5
53,Narrative,CTRL1,1,4
53,Narrative,CTRL2,1,4
55,Neutral,EMP,3,3.3333333333333335
55,Neutral,NORM,3,3.3333333333333335
55,Neutral,NAR,3,1.3333333333333333
55,Neutral,CTRL1,1,2
55,Neutral,CTRL2,1,4
55,Empathy,EMP,3,4.333333333333333
55,Empathy,NORM,3,2.3333333333333335
55,Empathy,NAR,3,2.6666666666666665
55,Empathy,CTRL1,1,3
55,Empathy,CTRL2,1,4
55,Social Norm,EMP,3,3.3333333333333335
55,Social Norm,NORM,3,4.666666666666667
55,Social Norm,NAR,3,2.3333333333333335
55,Social Norm,CTRL1,1,4
55,Social Norm,CTRL2,1,4
55,Narrative,EMP,3,4
55,Narrative,NORM,3,3.3333333333333335
55,Narrative,NAR,3,5
55,Narrative,CTRL1,1,4
55,Narrative,CTRL2,1,5
56,Neutral,EMP,3,4.666666666666667
56,Neutral,NORM,3,3.3333333333333335
56,Neutral,NAR,3,4.333333333333333
56,Neutral,CTRL1,1,4
56,Neutral,CTRL2,1,5
56,Empathy,EMP,3,5
56,Empathy,NORM,3,2
56,Empathy,NAR,3,4.333333333333333
56,Empathy,CTRL1,1,3
56,Empathy,CTRL2,1,5
56,Social Norm,EMP,3,5
56,Social Norm,NORM,3,4.333333333333333
56,Social Norm,NAR,3,4.333333333333333
56,Social Norm,CTRL1,1,5
56,Social Norm,CTRL2,1,5
56,Narrative,EMP,3,5
56,Narrative,NORM,3,3
56,Narrative,NAR,3,5
56,Narrative,CTRL1,1,4
56,Narrative,CTRL2,1,5
57,Neutral,EMP,3,3
57,Neutral,NORM,3,4
57,Neutral,NAR,3,2.6666666666666665
57,Neutral,CTRL1,1,3
57,Neutral,CTRL2,1,3
57,Empathy,EMP,3,4.333333333333333
57,Empathy,NORM,3,3.6666666666666665
57,Empathy,NAR,3,3.6666666666666665
57,Empathy,CTRL1,1,3
57,Empathy,CTRL2,1,5
57,Social Norm,EMP,3,4
57,Social Norm,NORM,3,4
57,Social Norm,NAR,3,3.3333333333333335
57,Social Norm,CTRL1,1,3
57,Social Norm,CTRL2,1,2
57,Narrative,EMP,3,4.666666666666667
57,Narrative,NORM,3,4
57,Narrative,NAR,3,5
57,Narrative,CTRL1,1,5
57,Narrative,CTRL2,1,5
